5,Hearts
A,Diamonds
K,Spades
Q,Diamonds
K,Hearts
9,Hearts
Q,Hearts
K,Diamonds
A,Clubs
3,Clubs
4,Spades
6,Hearts
K,Clubs
J,Spades
8,Clubs
J,Diamonds
Q,Clubs
3,Spades
3,Hearts
2,Hearts
9,Clubs
7,Clubs
2,Clubs
A,Hearts
6,Clubs
J,Clubs
7,Spades
2,Spades
8,Spades
8,Diamonds
10,Diamonds
10,Hearts
2,Diamonds
6,Spades
4,Clubs
7,Diamonds
A,Spades
9,Diamonds
9,Spades
5,Spades
5,Diamonds
5,Clubs
J,Hearts
4,Diamonds
10,Spades
8,Hearts
7,Hearts
4,Hearts
3,Diamonds
6,Diamonds
10,Clubs
Q,Spades
